hypervisor,host,guest,ram,randread runtime (ms),randwrite runtime (ms),seqread runtime (ms),seqwrite runtime (ms)
vbox,windows,centos,5,39323.0,5124.0,2151.0,2508.0
vbox,windows,centos,5,39351.0,5551.0,2159.0,2675.0
vbox,windows,centos,5,39766.0,5363.0,2229.0,2640.0
vbox,mac,ubuntu,2,45342.0,14313.0,3208.0,2754.0
vbox,mac,ubuntu,2,43416.0,14438.0,2159.0,3026.0
vbox,mac,ubuntu,2,45587.0,14801.0,3248.0,2689.0
vbox,mac,ubuntu,2,52117.0,15258.0,3265.0,3156.0
vbox,mac,ubuntu,2,43086.0,14337.0,2788.0,2750.0
vmware,mac,centos,2,59985.0,39236.0,3612.0,4541.0
vmware,mac,centos,2,60001.0,33447.0,3558.0,4596.0
vmware,mac,centos,2,60001.0,37576.0,4369.0,4710.0
vmware,mac,centos,2,57422.0,36793.0,3413.0,4586.0
vmware,mac,centos,2,60001.0,35553.0,3266.0,4532.0
vbox,mac,ubuntu,5,45700.0,6452.0,10883.0,2980.0
vbox,mac,ubuntu,5,44167.0,6944.0,2199.0,2407.0
vbox,mac,ubuntu,5,43184.0,6706.0,2214.0,2463.0
vbox,mac,ubuntu,5,41225.0,6650.0,2264.0,2396.0
vbox,mac,ubuntu,5,43206.0,6606.0,2200.0,2420.0
vmware,mac,debian,5,52646.0,13773.0,3545.0,3973.0
vmware,mac,debian,5,51111.0,15474.0,3300.0,3562.0
vmware,mac,debian,5,49520.0,15773.0,4128.0,9542.0
vmware,mac,debian,5,55051.0,16380.0,3742.0,6098.0
vmware,mac,debian,5,52619.0,16312.0,3331.0,5479.0
vmware,mac,debian,4,59907.0,21128.0,3515.0,4211.0
vmware,mac,debian,4,54416.0,20921.0,3761.0,3692.0
vmware,mac,debian,4,60001.0,17931.0,3194.0,3451.0
vmware,mac,debian,4,53541.0,18051.0,2647.0,3522.0
vmware,mac,debian,4,58767.0,18477.0,2530.0,4400.0
vbox,mac,ubuntu,4,60001.0,8307.0,2070.0,7896.0
vbox,mac,ubuntu,4,60001.0,11216.0,2957.0,7518.0
vbox,mac,ubuntu,4,60001.0,9640.0,2215.0,2615.0
vbox,mac,ubuntu,4,60001.0,9860.0,2283.0,5637.0
vbox,mac,ubuntu,4,60001.0,9441.0,3064.0,2586.0
